state,weather_ts,n_weather_events
OK,2016-07-25,4
SD,2017-07-17,25
TX,2016-04-18,58
NE,2016-11-21,1
TX,2018-07-09,11
SD,2018-07-09,24
TX,2018-09-03,1
NE,2018-07-23,66
OK,2016-03-28,14
NE,2018-08-06,49
TX,2016-01-25,1
OK,2016-09-05,1
TX,2017-04-17,95
SD,2016-06-13,21
TX,2016-07-11,14
NE,2017-08-07,30
SD,2018-07-23,49
KS,2018-08-06,18
OK,2018-04-09,13
ND,2017-07-10,24
ND,2018-05-14,3
TX,2016-06-06,4
OK,2018-08-27,8
NE,2016-07-11,8
NE,2016-04-18,5
NE,2018-07-02,19
ND,2018-09-10,12
ND,2018-05-28,48
SD,2018-06-04,120
ND,2016-09-05,5
SD,2018-07-16,66
TX,2018-06-18,54
NE,2018-05-07,94
SD,2017-07-10,29
TX,2018-10-08,43
NE,2016-05-23,71
NE,2016-07-25,42
TX,2018-09-17,2
OK,2016-08-22,12
SD,2016-05-23,41
ND,2018-08-13,4
SD,2017-08-14,34
ND,2016-08-29,11
NE,2017-08-28,2
KS,2016-03-07,2
OK,2018-01-15,1
OK,2017-08-21,1
SD,2018-05-14,53
SD,2017-05-15,3
NE,2018-09-17,31
SD,2018-06-18,26
NE,2016-08-08,7
OK,2017-08-07,4
NE,2016-08-29,17
NE,2016-07-18,5
ND,2016-05-23,4
NE,2016-05-09,55
TX,2016-09-12,28
OK,2017-03-27,26
NE,2018-10-01,2
KS,2017-09-25,11
NE,2017-04-17,9
KS,2018-08-13,55
KS,2018-06-11,90
NE,2017-07-10,6
KS,2016-10-03,38
NE,2017-07-03,34
SD,2018-08-13,6
NE,2017-07-24,2
TX,2017-06-19,12
OK,2018-07-23,13
NE,2018-06-04,90
NE,2016-06-20,8
KS,2016-07-04,20
TX,2016-01-18,6
OK,2018-07-16,6
ND,2018-07-02,137
TX,2018-01-22,17
TX,2018-03-19,26
TX,2018-02-05,4
SD,2018-05-07,16
OK,2018-05-07,3
KS,2017-07-17,10
NE,2018-04-30,76
TX,2018-04-02,102
TX,2016-07-25,1
ND,2016-08-01,35
KS,2017-04-17,23
ND,2018-08-20,10
SD,2018-07-30,53
NE,2016-06-27,51
TX,2017-07-24,1
TX,2018-02-26,2
TX,2017-08-07,3
NE,2018-09-03,1
NE,2018-05-21,22
NE,2016-03-28,12
SD,2017-07-31,8
ND,2017-08-14,1
KS,2018-07-23,97
TX,2018-06-04,110
NE,2018-06-11,68
TX,2017-02-13,3
OK,2018-10-01,10
SD,2016-08-08,46
KS,2016-06-20,11
OK,2017-07-03,10
